DATA,FECHAMENTO
05/08/2024,"57,02"
02/08/2024,"57,63"
01/08/2024,"58,44"
31/07/2024,"59,78"
30/07/2024,"58,42"
29/07/2024,"59,74"
26/07/2024,"59,63"
25/07/2024,"58,76"
24/07/2024,"58,78"
23/07/2024,"58,43"
22/07/2024,"59,22"
19/07/2024,"59,29"
18/07/2024,"59,34"
17/07/2024,"59,90"
16/07/2024,"60,46"
15/07/2024,"61,10"
12/07/2024,"61,03"
11/07/2024,"60,15"
10/07/2024,"60,31"
09/07/2024,"61,13"
08/07/2024,"61,21"
05/07/2024,"61,69"
04/07/2024,"61,95"
03/07/2024,"62,26"
02/07/2024,"61,04"
01/07/2024,"61,25"
28/06/2024,"60,36"
27/06/2024,"59,72"
26/06/2024,"59,56"
25/06/2024,"58,83"
24/06/2024,"59,08"
21/06/2024,"59,01"
20/06/2024,"59,56"
19/06/2024,"59,03"
18/06/2024,"58,84"
17/06/2024,"58,57"
14/06/2024,"58,80"
13/06/2024,"59,01"
12/06/2024,"58,34"
11/06/2024,"59,15"
10/06/2024,"59,24"
07/06/2024,"58,60"
06/06/2024,"59,38"
05/06/2024,"58,56"
04/06/2024,"59,41"
03/06/2024,"60,02"
31/05/2024,"61,31"
29/05/2024,"61,35"
28/05/2024,"61,98"
27/05/2024,"63,34"
24/05/2024,"63,13"
23/05/2024,"63,10"
22/05/2024,"63,48"
21/05/2024,"63,98"
20/05/2024,"64,17"
17/05/2024,"64,20"
16/05/2024,"62,97"
15/05/2024,"62,51"
14/05/2024,"62,69"
13/05/2024,"62,73"
10/05/2024,"62,36"
09/05/2024,"62,58"
08/05/2024,"62,07"
07/05/2024,"62,65"
06/05/2024,"62,26"
03/05/2024,"62,07"
02/05/2024,"62,00"
30/04/2024,"61,39"
29/04/2024,"61,99"
26/04/2024,"60,86"
25/04/2024,"60,36"
24/04/2024,"61,66"
23/04/2024,"60,90"
22/04/2024,"61,43"
19/04/2024,"61,46"
18/04/2024,"60,47"
17/04/2024,"60,25"
16/04/2024,"59,60"
15/04/2024,"60,13"
12/04/2024,"59,78"
11/04/2024,"60,01"
10/04/2024,"59,75"
09/04/2024,"60,68"
08/04/2024,"61,08"
05/04/2024,"57,92"
04/04/2024,"58,56"
03/04/2024,"59,22"
02/04/2024,"60,08"
01/04/2024,"59,39"
28/03/2024,"59,01"
27/03/2024,"58,78"
26/03/2024,"58,25"
25/03/2024,"59,00"
22/03/2024,"59,12"
21/03/2024,"59,81"
20/03/2024,"59,96"
19/03/2024,"59,56"
18/03/2024,"59,08"
15/03/2024,"57,97"
14/03/2024,"58,64"
13/03/2024,"59,40"
12/03/2024,"59,02"
11/03/2024,"59,39"
08/03/2024,"61,29"
07/03/2024,"61,76"
06/03/2024,"61,98"
05/03/2024,"61,14"
04/03/2024,"61,96"
01/03/2024,"62,10"
29/02/2024,"62,20"
28/02/2024,"61,97"
27/02/2024,"62,65"
26/02/2024,"61,05"
23/02/2024,"62,56"
22/02/2024,"62,41"
21/02/2024,"61,75"
20/02/2024,"61,29"
19/02/2024,"62,66"
16/02/2024,"62,84"
15/02/2024,"60,82"
14/02/2024,"61,02"
09/02/2024,"61,21"
08/02/2024,"61,47"
07/02/2024,"62,02"
06/02/2024,"61,90"
05/02/2024,"60,82"
02/02/2024,"61,35"
01/02/2024,"62,63"
31/01/2024,"62,91"
30/01/2024,"63,86"
29/01/2024,"64,22"
26/01/2024,"64,53"
25/01/2024,"63,47"
24/01/2024,"64,90"
23/01/2024,"64,25"
22/01/2024,"62,95"
19/01/2024,"63,23"
18/01/2024,"64,07"
17/01/2024,"64,48"
16/01/2024,"65,57"
15/01/2024,"66,43"
12/01/2024,"66,56"
11/01/2024,"67,42"
10/01/2024,"67,06"
09/01/2024,"68,09"
08/01/2024,"68,96"
05/01/2024,"69,31"
04/01/2024,"70,21"
03/01/2024,"71,17"
02/01/2024,"71,54"
